Model,Fold,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc
Dummy,1,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363,,,,,,,
Dummy,2,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363,,,,,,,
Dummy,3,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363,,,,,,,
Dummy,4,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363,,,,,,,
Dummy,5,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363,,,,,,,
Basic CART,1,0.8901098901098901,0.882610939112487,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8826109391124871,0.7824537054640861,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Basic CART,2,0.967032967032967,0.9736842105263157,0.918918918918919,1.0,0.9577464788732394,0.9736842105263158,0.918918918918919,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Basic CART,3,0.8901098901098901,0.8766769865841073,0.875,0.8235294117647058,0.8484848484848485,0.8766769865841073,0.7865223012281836,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Basic CART,4,0.9120879120879121,0.9060887512899897,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9060887512899897,0.8225027567588121,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Basic CART,5,0.9560439560439561,0.947110423116615,0.96875,0.9117647058823529,0.9393939393939394,0.947110423116615,0.9162390917905624,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tuned & Pruned CART,1,0.9560439560439561,0.9530443756449949,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9716202270381837,0.9408175137960241,0.9752747252747253,0.974329205366357,0.9635036496350365,0.9705882352941176,0.967032967032967,0.9784410474716203,0.9535179419231624
Tuned & Pruned CART,2,0.978021978021978,0.9765221878224974,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.989938080495356,0.9673078592600861,0.967032967032967,0.9647832817337462,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.977280056759546,0.9521870110218194
Tuned & Pruned CART,3,0.9120879120879121,0.8882868937048503,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9004127966976264,0.8571213100624865,0.9615384615384616,0.9574303405572755,0.9552238805970149,0.9411764705882353,0.9481481481481482,0.9639447884416924,0.9364559509817687
Tuned & Pruned CART,4,0.9230769230769231,0.9267285861713106,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9321465428276574,0.848337883037156,0.9615384615384616,0.9618808049535603,0.9357142857142857,0.9632352941176471,0.9492753623188406,0.9658797729618164,0.9257030161400618
Tuned & Pruned CART,5,0.945054945054945,0.9442724458204335,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9445304437564498,0.880677545307614,0.967032967032967,0.967750257997936,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9696207430340558,0.9295361990950226
Random Forest,1,0.9560439560439561,0.947110423116615,0.96875,0.9117647058823529,0.9393939393939394,0.9868421052631579,0.9832656374257777,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,2,0.967032967032967,0.967750257997936,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9989680082559339,0.9983660130718954,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,3,0.9560439560439561,0.947110423116615,0.96875,0.9117647058823529,0.9393939393939394,0.9938080495356036,0.9906162464985995,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,4,0.945054945054945,0.9442724458204335,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9842621259029927,0.9818659992117813,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
Random Forest,5,0.978021978021978,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.980908152734778,0.9842868654311039,1.0,1.0,1.0,1.0,1.0,1.0,1.0
